rating,price_€,sim_dual,sim_sing,sim_3G,sim_4G,sim_5G,sim_volte,sim_wifi,sim_nfc,sim_irc_bl,sim_vo5g,ram_,memory_int(MB),battery_mAh,battery_w,display_inch,display_hz
82.0,824.9889999999999,1,0,1,1,1,1,1,1,0,0,6144.0,131072.0,4325.0,,6.7,
78.0,120.989,1,0,1,1,0,1,1,0,1,0,6144.0,65536.0,5000.0,33.0,6.43,
89.0,934.89,1,0,1,1,1,1,1,1,0,1,8192.0,262144.0,4700.0,45.0,6.6,120.0
75.0,115.489,1,0,1,1,0,1,1,0,0,0,4096.0,65536.0,5000.0,33.0,6.55,90.0
78.0,197.89,1,0,1,1,1,1,1,1,1,0,6144.0,131072.0,5000.0,67.0,6.67,120.0
85.0,329.89,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,4600.0,66.0,6.78,120.0
79.0,203.489,1,0,1,1,0,1,1,0,0,0,6144.0,131072.0,5000.0,25.0,6.6,
75.0,181.489,1,0,1,1,0,1,1,0,0,0,6144.0,131072.0,5000.0,18.0,6.55,
81.0,164.989,1,0,1,1,1,1,1,0,1,0,6144.0,131072.0,5000.0,33.0,6.6,90.0
86.0,390.489,1,0,1,1,1,1,1,1,0,0,8192.0,262144.0,4600.0,66.0,6.78,120.0
89.0,670.9889999999999,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,5000.0,80.0,6.7,120.0
87.0,362.989,1,0,1,1,1,1,1,0,1,0,12288.0,262144.0,4980.0,120.0,6.67,120.0
78.0,175.98899999999998,1,0,1,1,1,1,1,1,0,0,4096.0,131072.0,5000.0,25.0,6.6,120.0
,1099.89,1,0,1,1,1,1,1,1,0,0,8192.0,262144.0,5000.0,67.0,7.1,120.0
62.0,104.489,1,0,1,1,0,1,1,0,0,0,3072.0,65536.0,5000.0,,6.56,
86.0,307.934,1,0,1,1,1,1,1,0,0,0,12288.0,262144.0,4200.0,44.0,6.44,90.0
75.0,153.879,1,0,1,1,1,1,1,0,0,0,4096.0,65536.0,5000.0,18.0,6.58,120.0
85.0,494.989,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,4800.0,150.0,6.7,120.0
79.0,153.989,1,0,1,1,1,1,1,0,1,0,6144.0,131072.0,5000.0,18.0,6.5,90.0
,68.08999999999999,1,0,1,1,0,1,1,0,0,0,4096.0,32768.0,3500.0,,6.26,
83.0,1318.9,1,0,1,1,1,1,1,1,0,0,6144.0,131072.0,3095.0,,6.1,120.0
83.0,304.26,1,0,1,1,1,1,1,0,0,0,8192.0,131072.0,4800.0,67.0,6.58,120.0
75.0,274.989,1,0,1,1,1,1,1,1,0,0,6144.0,131072.0,5000.0,33.0,6.5,90.0
66.0,92.268,1,0,1,1,0,1,1,0,0,0,4096.0,65536.0,5000.0,,6.53,
83.0,175.98899999999998,1,0,1,1,0,1,1,1,0,0,6144.0,131072.0,5000.0,33.0,6.55,120.0
82.0,230.989,1,0,1,1,1,1,1,0,0,0,8192.0,131072.0,5000.0,15.0,6.6,90.0
75.0,153.989,1,0,1,1,1,1,1,0,0,0,4096.0,65536.0,5000.0,18.0,6.5,90.0
83.0,219.89,1,0,1,1,1,1,1,0,0,0,8192.0,131072.0,5000.0,18.0,6.58,120.0
75.0,153.989,1,0,1,1,1,1,1,0,0,0,6144.0,131072.0,5000.0,15.0,6.5,90.0
83.0,252.989,1,0,1,1,1,1,1,1,0,0,6144.0,131072.0,4020.0,33.0,6.5,144.0
79.0,252.989,1,0,1,1,1,1,1,0,0,0,6144.0,131072.0,5000.0,25.0,6.6,120.0
79.0,186.989,1,0,1,1,1,1,1,0,0,0,8192.0,131072.0,5000.0,33.0,6.56,90.0
80.0,157.19,1,0,1,1,0,1,1,0,1,0,6144.0,131072.0,5000.0,33.0,6.43,90.0
,461.989,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,5000.0,25.0,6.7,120.0
69.0,148.379,1,0,1,1,0,1,1,0,0,0,4096.0,65536.0,5000.0,18.0,6.51,
83.0,252.89,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,5000.0,,6.59,120.0
84.0,181.489,1,0,1,1,1,1,1,0,0,0,8192.0,131072.0,5000.0,,6.55,120.0
,813.9889999999999,1,0,1,1,1,1,1,1,1,0,12288.0,262144.0,4700.0,80.0,6.78,120.0
